# name, smd?, value, package, component, x, y, angle
J1, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J2, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
J3, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J4, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
J5, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J6, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
J7, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
J8, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J9, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J10, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
J11, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J12, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
J13, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
J14, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
J15, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 180.00
J16, PTH, , 1X04_LOCK, -1x04_lock, 0.00, 0.00, 0.00
T.AMBIENT, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 9.27, 51.69, 0.00
T.AMBIENT1, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 2.79, 39.75, 180.00
T.AMBIENT2, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 21.34, 51.69, 0.00
T.AMBIENT3, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 14.86, 39.75, 180.00
T.AMBIENT4, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 33.40, 51.69, 0.00
T.AMBIENT5, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 26.92, 39.75, 180.00
T.AMBIENT6, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 38.99, 39.75, 180.00
T.AMBIENT7, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 45.47, 51.69, 0.00
T.AMBIENT8, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 69.60, 51.69, 0.00
T.AMBIENT9, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 63.12, 39.75, 180.00
T.AMBIENT10, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 57.53, 51.69, 0.00
T.AMBIENT11, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 51.05, 39.75, 180.00
T.AMBIENT12, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 75.18, 39.75, 180.00
T.AMBIENT13, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 81.66, 51.69, 0.00
T.AMBIENT14, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 87.25, 39.75, 180.00
T.AMBIENT15, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 93.73, 51.69, 0.00
T.DETECTED, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 6.10, 67.69, 270.00
T.DETECTED1, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 5.97, 23.75, 90.00
T.DETECTED2, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 18.16, 67.69, 270.00
T.DETECTED3, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 18.03, 23.75, 90.00
T.DETECTED4, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 30.23, 67.69, 270.00
T.DETECTED5, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 30.10, 23.75, 90.00
T.DETECTED6, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 42.16, 23.75, 90.00
T.DETECTED7, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 42.29, 67.69, 270.00
T.DETECTED8, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 66.42, 67.69, 270.00
T.DETECTED9, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 66.29, 23.75, 90.00
T.DETECTED10, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 54.36, 67.69, 270.00
T.DETECTED11, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 54.23, 23.75, 90.00
T.DETECTED12, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 78.36, 23.75, 90.00
T.DETECTED13, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 78.49, 67.69, 270.00
T.DETECTED14, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 90.42, 23.75, 90.00
T.DETECTED15, SMD, PT19-21C/L41, ALS-PT19, pt19-21c/l41-als-pt19, 90.55, 67.69, 270.00
