# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1,SMD,0.1UF,0603-CAP,0.1uf-0603-cap,74.93,78.74,180.00,-180.00
C2,SMD,0.1UF,0603-CAP,0.1uf-0603-cap,49.53,78.74,180.00,-180.00
C3,SMD,0.1UF,0603-CAP,0.1uf-0603-cap,24.13,78.74,180.00,-180.00
IC1,SMD,74LS139D,SO16,74ls139d-so16,74.93,72.39,270.00,90.00
IC2,SMD,74LS139D,SO16,74ls139d-so16,49.53,72.39,270.00,90.00
IC3,SMD,74LS139D,SO16,74ls139d-so16,24.13,72.39,270.00,90.00
IC4,SMD,MCP23017SO,SO28W,mcp23017so-so28w,49.53,55.25,270.00,90.00
LED1,SMD,R,0603-LED,r-0603-led,16.51,58.42,180.00,-180.00
LED2,SMD,Y,0603-LED,y-0603-led,16.51,57.15,180.00,-180.00
LED3,SMD,G,0603-LED,g-0603-led,16.51,55.88,180.00,-180.00
R1,SMD,1K0,0603-RES,1k0-0603-res,83.82,83.82,270.00,90.00
R2,SMD,1K0,0603-RES,1k0-0603-res,81.28,83.82,270.00,90.00
R3,SMD,470R,0603-RES,470r-0603-res,78.74,83.82,270.00,90.00
R4,SMD,1K0,0603-RES,1k0-0603-res,71.12,83.82,270.00,90.00
R5,SMD,1K0,0603-RES,1k0-0603-res,68.58,83.82,270.00,90.00
R6,SMD,470R,0603-RES,470r-0603-res,66.04,83.82,270.00,90.00
R7,SMD,1K0,0603-RES,1k0-0603-res,58.42,83.82,270.00,90.00
R8,SMD,1K0,0603-RES,1k0-0603-res,55.88,83.82,270.00,90.00
R9,SMD,470R,0603-RES,470r-0603-res,53.34,83.82,270.00,90.00
R10,SMD,1K0,0603-RES,1k0-0603-res,45.72,83.82,270.00,90.00
R11,SMD,1K0,0603-RES,1k0-0603-res,43.18,83.82,270.00,90.00
R12,SMD,470R,0603-RES,470r-0603-res,40.64,83.82,270.00,90.00
R13,SMD,1K0,0603-RES,1k0-0603-res,33.02,83.82,270.00,90.00
R14,SMD,1K0,0603-RES,1k0-0603-res,30.48,83.82,270.00,90.00
R15,SMD,470R,0603-RES,470r-0603-res,27.94,83.82,270.00,90.00
R16,SMD,1K0,0603-RES,1k0-0603-res,20.32,83.82,270.00,90.00
R17,SMD,1K0,0603-RES,1k0-0603-res,17.78,83.82,270.00,90.00
R18,SMD,470R,0603-RES,470r-0603-res,15.24,83.82,270.00,90.00
R19,SMD,2k2,0603-RES,2k2-0603-res,38.10,58.42,0.00,0.00
R20,SMD,2k2,0603-RES,2k2-0603-res,38.10,57.15,0.00,0.00
R21,SMD,2k2,0603-RES,2k2-0603-res,38.10,55.88,0.00,0.00
R22,SMD,2k2,0603-RES,2k2-0603-res,38.10,53.34,0.00,0.00
R23,SMD,10K,0603-RES,10k-0603-res,80.01,50.80,90.00,-90.00
R24,SMD,10K,0603-RES,10k-0603-res,77.47,50.80,90.00,-90.00
R25,SMD,10K,0603-RES,10k-0603-res,74.93,50.80,90.00,-90.00
R26,SMD,4k7,0603-RES,4k7-0603-res,48.26,22.86,270.00,90.00
R27,SMD,4k7,0603-RES,4k7-0603-res,41.91,22.86,270.00,90.00
